जबकि यह जैनों से कम है।	6	Jabki yah Jainon se km hai.	6	
वर्ष 2000 में वेंकटरामन ने प्रयोगशाला में राइबोसोम की तीस ईकाईयों का पता लगाया और प्रतिजैविकों के साथ इनके यौगिकों पर भी अनुसंधान किया।	24	Varsh 2000 men Venkatraman ne prayogshala men Ribosome ki tees ikaiyon ka pata lagaya aur pratijaivikon ke saath unke yougikon par bhi anusandhan kiya.	24	
इस वृक्ष की लंबाई तकरीबन ५० से ६० फीट के आसपास की होती है।	14	Is vriksha ki lambai takriban 50 se 60 feet ke aaspass ki hoti hai.	14	
इन अनुसंधान कार्यक्रमों में तारा रचना, तारकीय संरचना और विकास, धूमकेतु, नोवा और बाइनरी सिस्टम, सुपरनोवा, चंद्र उपगूहन अध्ययन	19	In anusandhan karyakramon men tara rachana, tarkiy sanrachana aur vikas, dhumketu, nova aur binary system, supernova, chandra upgrhan adhhyayan	19	
और स्टारबर्स्ट और सक्रिय गांगेय नाभिक जैसे पिंडों और घटनाओं की विस्तृत रेंज को कवर किया जाता है।	18	aur starburst aur sakriy gangeya nabhik jaise pindon aur ghatanaon ki vistrut renj ko covar kiya jata hai.	18	
१ नबम्बर १९१९ को मजिस्ट्रेट बी॰ एस॰ क्रिस ने मैनपुरी षडयन्त्र का फैसला सुना दिया।	15	1 November 1919 ko magistrate B. S. Kris ne Mainpuri shadyantra ka faisla suna diya.	15	
अमरीश पुरी	2	Amrish Puri	2	
ग्रामीण क्षेत्रों में लोग अक्सर अपशिष्ट का स्थानान्तरण पर्हस्ती स्टेशन पर फेंक कर निपटान करते हैं जमा किया गया मल फिर क्षेत्रीय landfill तक ले जाया जाता है	28	Gramin Kshetron men log aksar apshisht ka sthanantaran parhasti station par fenk kar niptan karte hain jama kiya gaya mal fir kshetriya landfill tak le jaya jata hai	28	
ये आंध्र प्रदेश से हैं।	5	Ye Andhra Pradesh se hain.	5	
सुशील सिद्धार्थ ये वो सहर तो नहीं हिंदी कथा जगत में अपना ख़ास मुकाम बना चुके	16	Sushil Siddharth ye wo sahar to nahi Hindi katha jagat men apna khas mukam bana chuke	16	
युवा रचनाकार पंकज सुबीर का प्रथम उपन्यास--ये वो सहर तो नहीं --ज्ञानपीठ से आ गया है।	16	Yuva rachnakar Pankaj Subir ka pratham upanyas--ye vo sahar to nahi-- gyanpith se aya gaya hai.	16	
यथार्थ की परिधि के बाहर जाकर मनचाही उड़ान लेना उसके लिए प्राय: असंभव हो गया।	15	Yatharth ki paridhi ke bahar jakar manchahi udan lena uske liye prayh asambhav ho gaya.	15	
अपने पहले अभियान के सफल होने के बाद रामेसेस ने अपने शासन काल के पाँचवे वर्ष पर कादेश	18	Apne pahale abhiyan ke safal hone ke baad Rameses ne apne shasan kal ke panch varsh par kadesh.	18	
